fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D2079.csv,16261.246352251444,6381.888476501624,16942.282032178002,18147.721668314454,13707.361823540366,6131.815166446389,14314.12229366034,14410.423605354945,14784.698874999996
D2085.csv,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105,7319694.736842105
D2076.csv,510490.29241862835,48332025.00911413,508719.97156677727,34391266.37867928,23776976.89913606,15192713.243243244,264202.7522078193,264202.7522078193,22421203.113577507
D3640.csv,37050.93041248288,24584.828485128255,41624.63154168291,35915.11746764618,25210.970098280988,25676.381828488942,28894.37412342561,29150.871356947875,56899.296727272704
D154.csv,117617.28217027984,107961.49200113249,131965.60102374843,103571.26228668072,80541.45204945412,108555.68714249987,128360.15002759003,128360.15002759003,182453.41220875006
D3596.csv,1944.4768719069828,2373.114674833977,3219.002771182047,3171.0849296747606,2583.3976530311397,2282.0215473370354,1706.9644259855017,1651.2519126658233,3311.373959445728
D3620.csv,13414.492727366258,134480.60224232165,14222.854215465817,248.76285345179366,422.1948598188881,132.11980902777137,41122.64608433066,10420.789003391235,419.46408499999717
D30.csv,1224.0904467596115,1857.8077012943606,1411.7892667778065,2822.1210422799145,2412.290401250641,859.0131423190232,935.8852032817989,715.6057451911703,2062.842217695113
D3616.csv,1541.4898702543996,3469.8822559908235,1922.2354832054468,3664.5410022574274,3919.3043557860374,3175.2214125427845,1236.9527334894215,1236.9527334894215,4225.409672499996
D1644.csv,97702.60802100468,201613.42065880925,120378.89186509981,168430.0374510252,97231.5954342318,121025.571875,95770.05235384486,96935.69011199469,214137.95475000003
D1654.csv,214557.2765208276,168875.74836101301,519722.0764502316,90085.44369919671,142610.67220969795,105674.64336419752,109803.8166703478,131930.09008329437,191519.50617283952
D1645.csv,1644.1860082606192,14977.837543542057,1643.6702080783912,13439.037170423255,15822.789619762674,13597.085669014083,1803.986033945816,1803.986033945816,18364.697077235425
D174.csv,176.41211209272836,287.2923507111436,213.965122338183,189.18256757009237,177.6954497975515,278.17704331129585,141.90181676005915,139.23125226860927,327.2040152698314
D5.csv,51598.894979883284,48130.69597504872,84173.61906416941,39214.39910990214,39914.15598619478,39763.030421874966,11508.076802458647,16128.715543891652,48140.70694616825
D3644.csv,69377.96445387175,166914.87227004784,79598.43628509186,251812.40715656878,147402.4116784661,33378.17069159616,55825.851000429306,56359.1747094207,158628.921875
D156.csv,49871.26375631268,56429.259040545185,49872.80646666894,50330.94204199647,82817.75194199255,47849.2002900532,57119.288717773066,56903.46177492549,209503.37537374996
D132.csv,1971030.2025430922,12981386.004198678,1970492.7322148005,16954759.524517126,15945969.089653194,6470312.5,2386387.9845256433,2386387.9845256433,10642734.375
D40.csv,6567.113285795125,12268.680605751568,6564.623364473003,25333.99054738996,19819.5036288111,10464.638989727182,6719.690389930853,6706.599210302826,24777.25610629284
D3610.csv,2424721.2056752844,46176369.53668256,94100938.70956305,9929726.122712502,23991329.196027007,71531.25000000032,1925316.298224325,1792601.2971094921,2424221.2499999977
D3631.csv,327.2401777522192,537.3678792035414,378.6568227603565,333.6937472079684,288.0734526079009,408.356714585058,385.3322638067626,364.0583119838523,306.47576675331595
D169.csv,548.5048135450248,803.4220402037232,842.1343489112198,881.2882391049963,889.3363206746212,350.69723763163086,438.35724162951533,443.6969591690779,895.0318497121928
